0,GLOSS,amo,atsam,buji,camo,cishigini,clela,fungwa,gbiri,hun-saare,janji,kamuku,kudu,kurama,niragu,piti,reshe,sheni,surubu,tsikimba
1,ANIMAL,fɪ-nawa,nam,bì-námá,kori/a-koraja,mànámà,nə̀:mə̂ (ø-(v),bì-nî,ku-nʌma,?,bɪ-nama,bi-nemi,u-leme,bɪ-nama,ka-nama,e-nam,hi-nama,i-nama,e-nama,mà-námà
1,ANIMAL,1,1,1,2,1,1,1,1,?,1,1,3,1,1,1,1,1,1,1
3,ARMPIT,ki-jo,?,*mawo,?,kùpàyàn,d-hàpà,-bìakútè,?,ə́r-hápsɛ́,?,?,?,o-haafane,?,?,ry-átákà,?,kawava,kù- pã̀jã̀
3,ARMPIT,1,?,2,?,3,4,5,?,4,?,?,?,6,?,?,7,?,8,3
4,ARROW,u-ʧilak; *o-ʧellak,a-tsɪr,ù-vìrà,hu-ila,kàyá'à,-dè:la,nì-ʔìlà,u-kɪlla,ə́rʔɛ́r,oira,e-ʔel,?,*ɔ-wila,wu-kɪrra,u-ʧɪr,rí-bábɛ̀,ka-wija,u-ʧira,kà-jàʔà
4,ARROW,1,1,2,2,3,4,4,4,5,6,7,?,4,4,1,8,3,1,3
5,ASHES,in-ton,?,ǹ-tó,?,kàkpàɗì,m-tɔ́ŋ,"ìnta, $",*in-ʧe,?,?,mu-oto,?,ń-twá,?,?,másákáyã̀,?,an-tse,kò-kòmò
5,ASHES,1,?,1,?,2,1,1,3,?,?,1,?,1,?,?,4,?,5,6
6,ASK (A QUESTION),u-tirimi,zenak (?),*sanjara,?,?,ìpkə̂,tə́ˋ:mbə́ǹə́ˋ,ribi,cít,?,?,?,jaas-,ribi,as(?),bípə̀,?,rivi; u-tambaja (H.),è:cè
6,ASK (A QUESTION),1,2,3,?,?,4,5,6,7,?,?,?,8,6,8,9,?,6,7
7,"BAD (BE), TO",nanzan,?,*ʧaron,?,?,-nà:-,?,*ka-banza (<H.),?,?,i:  lewo,?,*unu+zibu,?,?,lə́-mə̀hàndó (n.),?,ku-jikun,gbanəgbani
7,"BAD (BE), TO",1,?,2,?,?,3,?,1,?,?,4,?,5,?,?,6,?,7,8
8,BEAN,e-ʃum,?,*bi-ʧun,?,kàwáyà,v-jálà,*bu-gaje,*i-ʃim,ù-jôr,?,bi:-gaja,?,bé-váázó,?,?,hí-kònò,?,i-ssum,kà-wàjà
8,BEAN,1,?,1,?,2,2,2,1,2,?,2,?,4,?,?,5,?,1,2
9,BEG (ASK FOR S.T.),uroko (< H.),?,?,?,?,kòná,?,?,?,?,(mi:) roko:,?,*rokoh (< H.),?,?,hútá,?,rivi,?
9,BEG (ASK FOR S.T.),1,?,?,?,?,2,?,?,?,?,1,?,1,?,?,3,?,1,?
10,BELLY,li-buri,pi,ì-púrú,?,kə̀tsùmə̀,d-bə̀tə̀,cīmbə̀lɔ̀,ku-buri,ə́t-mɛ́n,ɛ-puru,*mo-ʧe:aŋgu,?,te-níjáŋá,ku-buri,kɪ-hɛk; u-buro,rí-pò,u-buri,ri-viri,kə̀-tsùmə̀
10,BELLY,1,1,1,?,2,3,4,1,5,1,6,?,7,1,1,8,1,"{1,9}",2
11,BITE,u-kifinu,kas,*ruma,?,?,ɛ̀:pɛ̀,?,kata,ha̍w,rumza ~ ruma (?),?,?,*lɔmze; kɔlɔma,kaza- ~ kata-,jebɪn,kə́pə̀nə̀,manju,kaɛka,lùmà
11,BITE,1,2,3,?,?,4,?,2,5,3,?,?,6,2,7,1,8,9,3
12,BUFFALO,ku-kau,ʧɛbe,bì-jáwá,?,?,kɔ̀bɔ́,?,pɪ-kawi,ù-hjét,bi-aba,bi-hasi,?,"bə́-háwá, bə-déki",pɪ-kawɪn,iʧe,h-érùmà,bi-aba,pi-kae,kjã́:cì
12,BUFFALO,1,2,3,?,?,4,?,1,5,6,7,?,3,1,2,8,6,1,9
13,"BUILD, TO (CF. SEW)",u-ke,?,?,?,?,mǎ,mâ:ŋgà,tumu ~ tum,ma̍,?,?,?,*ʤag,tumu ~ tun (?),"sur, sɔr",?,?,masuwa,màʔà
13,"BUILD, TO (CF. SEW)",1,?,?,?,?,2,3,4,2,?,?,?,5,4,6,?,?,7,2
14,CALABASH,ki-ʃik,?,*e-so,u-ra,mètépé'ùn,ì-hònò,bùgwɛ̀:gwɛ̀,*kake,ə́r-kɔ́k,?,e-hongu; *i-koa:ra,?,ne-ʤááró,?,?,hí-nɔ̀í-,?,ki-sep,mò-kóʔò
14,CALABASH,1,?,2,3,4,5,6,7,7,?,8,?,9,?,?,0,?,2,4
15,CARVE,u-kezu,?,*sah utiti,?,?,sɛ̀bɛ̀,?,*re-ʃana,?,?,?,?,*ʃava,?,?,?,?,?,ʃèʔwè
15,CARVE,1,?,2,?,?,3,?,4,?,?,?,?,4,?,?,?,?,?,3
16,CHARCOAL,ti-ʧimi,?,*tene,?,kə̀lìnə̀,?,ìnjìndɔ̀,?,?,?,bi:-rono,?,*nnine,?,?,?,?,ti-ʧeni (?),?
16,CHARCOAL,1,?,2,?,2,?,3,?,?,?,4,?,5,?,?,?,?,1,?
17,CHILD,gono,san ~ tsen,vànà,ganʤa,máákù,wà,bàʔà,kono,wa̍,vanna,vanna,pana,váná (v-áná ?),kono,kɪʧɛn ~ kɪkɛŋgɛ; indana,ú-bì,bana,kono,mà:kù
17,CHILD,1,4,3,5,2,3,3,1,3,3,1,3,3,1,6,7,3,1,2
18,COME OUT,u-nuzu,ru(?),*suru,?,?,rwə́ŋ; rwə́,?,pizə (?),rwə́n; rúbɛ́ (!),?,?,?,kale (?),piʤi (?),"ros(?), ro(?)",útà,?,ʧira,ùtə̀
18,COME OUT,1,1,1,?,?,2,?,3,2,?,?,?,4,3,1,5,?,6,5
19,"COOL, BE(COME) TO",u-lanzu tutuwui,?,*nara tene,?,?,tùdú,?,inrakwu sanji (H.),gwə́rɛ́,?,?,?,*tewai; u-sanji (H.) (?),?,?,?,?,wa-na; zu-wu,tə̀:xə̀
19,"COOL, BE(COME) TO",1,?,2,?,?,1,?,3,4,?,?,?,3,?,?,?,?,5,6
20,CORPSE,**libi,?,?,?,kàgàwà,?,*ì-gà:wà,?,ə̀rʔú,?,i-ʔu,?,*nekorror,?,?,?,?,wuna,?
20,CORPSE,1,?,?,?,2,?,2,?,3,?,3,?,5,?,?,?,?,4,?
