000,GLOSS,amo,atsam,buji,camo,cishigini,clela,fungwa,gbiri,hun-saare,janji,kamuku,kudu,kurama,niragu,piti,reshe,sheni,surubu,tsikimba
079,"SEW, TO",u-tunu,**sunzi,duza,?,*í:-teŋga,zìlə́,?,*retursa,?,?,*í:-teŋga,?,**torzah,?,?,(má)-táʧè,?,tuza,jìlə̀
079,"SEW, TO",u-tunu,**sunzi,duza,?,*í:-teŋga,zìlə́,?,*retursa,?,?,*í:-teŋga,?,**torzah,?,?,(má)-táʧè,?,tuza,jìlə̀
046,"GO, WALK, TO",u-du,da; dize,*wan,?,mi gu:o,nòkà tə́,híǹdọ̀,"bur; *dura, *wuʤina",nékɛ́,?,mi gu:o,?,"maze; tainja; vuri; jaze, *dorra",bir (?); gjara-?; pɪsa,darak (?),nò,?,"ʤaravu, u-ʤaru",bànà
046,"GO, WALK, TO",u-du,da; dize,*wan,?,mi gu:o,nòkà tə́,híǹdọ̀,"bur; *dura, *wuʤina",nékɛ́,?,mi gu:o,?,"maze; tainja; vuri; jaze, *dorra",bir (?); gjara-?; pɪsa,darak (?),nò,?,"ʤaravu, u-ʤaru",bànà
045,"GIVE, TO",u-ni,ni,"njaka, ʃe-me",?,ma: pu:a,"nésè, nɛ́",pálá,*dakar,já:s,?,ma: pu:a,?,*nɪ- ~ nʌ- (?)  **paseh,daka,n-(?),pɛ́nɛ̀,-nje-,"goo (?), parem",nèkè
045,"GIVE, TO",u-ni,ni,"njaka, ʃe-me",?,ma: pu:a,"nésè, nɛ́",pálá,*dakar,já:s,?,ma: pu:a,?,*nɪ- ~ nʌ- (?)  **paseh,daka,n-(?),pɛ́nɛ̀,-nje-,"goo (?), parem",nèkè
056,LEOPARD (‘PANTHER’),*ko-pe,a-kwo,*bi-kwi,jari,u-gəbi,gwì:mì,ìgõ̂,ku-gbe,ú-gə́,bi-kpe,u-gəbi,unjarɛ,o-daro,ku-bi,o-kwɔ,hì-kɛ̀sàndɔ̀ì-,u-gana,ku-dar,kà-námà
056,LEOPARD (‘PANTHER’),*ko-pe,a-kwo,*bi-kwi,jari,u-gəbi,gwì:mì,ìgõ̂,ku-gbe,ú-gə́,bi-kpe,u-gəbi,unjarɛ,o-daro,ku-bi,o-kwɔ,hì-kɛ̀sàndɔ̀ì-,u-gana,ku-dar,kà-námà
099,WAR,*li-kom,kɔŋ,*jaki H.,?,ə-gas,d-gà:gò,ì-gjásà,nɪ-guma,ə̀r-gə́n,lɪ-kɔno,ə-gas,?,ń-tá,lɪ-guma,ri-koŋ,?,i-kɔno,ri-guma,kù-võ̀
099,WAR,*li-kom,kɔŋ,*jaki H.,?,ə-gas,d-gà:gò,ì-gjásà,nɪ-guma,ə̀r-gə́n,lɪ-kɔno,ə-gas,?,ń-tá,lɪ-guma,ri-koŋ,?,i-kɔno,ri-guma,kù-võ̀
071,"REFUSE, RETAIN, TO",anaza,*-kaŋe,"*nyamene, *da ija",?,?,hòlà; hə́lə̀,?,"*gabu, wana nadi",jágɛ́,?,?,?,"**gabor, **pitih",?,?,?,?,vunuvu jepte,ʔĩ̀w)ã̀
071,"REFUSE, RETAIN, TO",anaza,*-kaŋe,"*nyamene, *da ija",?,?,hòlà; hə́lə̀,?,"*gabu, wana nadi",jágɛ́,?,?,?,"**gabor, **pitih",?,?,?,?,vunuvu jepte,ʔĩ̀w)ã̀
012,BUFFALO,ku-kau,ʧɛbe,bì-jáwá,?,bi-hasi,kɔ̀bɔ́,?,pɪ-kawi,ù-hjét,bi-aba,bi-hasi,?,"bə́-háwá, bə-déki",pɪ-kawɪn,iʧe,h-érùmà,bi-aba,pi-kae,kjã́:cì
012,BUFFALO,ku-kau,ʧɛbe,bì-jáwá,?,bi-hasi,kɔ̀bɔ́,?,pɪ-kawi,ù-hjét,bi-aba,bi-hasi,?,"bə́-háwá, bə-déki",pɪ-kawɪn,iʧe,h-érùmà,bi-aba,pi-kae,kjã́:cì
024,CROCODILE,kuku-kunon,?,bè-jó,ʤura,ŋ-us,cwí:mə̀,?,?,ù-tú,?,ŋ-us,?,o-cérám,?,?,hĩ̀-pã̀,?,ku-ʧirum,"kã̀-j,ṹpù"
024,CROCODILE,kuku-kunon,?,bè-jó,ʤura,ŋ-us,cwí:mə̀,?,?,ù-tú,?,ŋ-us,?,o-cérám,?,?,hĩ̀-pã̀,?,ku-ʧirum,"kã̀-j,ṹpù"
038,"FAT, OIL, GREASE","im-mai; *ti-bip, *nof",bap,"*n-pun, mà-néné",?,mə-nəbi,"m̀-sèmá, m̀-nèvé","cì-bjɛ̃i, *mi-jigo","mani, mumaja","ə̀m-sɛ́m, ə̀m-náw","tɪ-noi, mane",mə-nəbi,?,"u-kandɪra; *nipum, məi","mani, manuŋ","tɪ bɛp, mʌi",u-hemi,"ma-tenne, manawai","u-buktozu, ma-mai",mà-nĩ́’ĩ̀
